epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5663,1.707,5.57686,1.27292,0.42772,0.15288,0.13346,0.08783,1.38684,3.02501,1.12405,6.50177e-05,6.50177e-05,6.50177e-05
2,96.3035,1.52681,4.21086,1.19115,0.46859,0.52805,0.42831,0.27749,1.34681,2.14524,1.13452,0.000124485,0.000124485,0.000124485
3,142.535,1.4817,3.35451,1.18751,0.54598,0.66003,0.65096,0.408,1.33231,1.6416,1.15738,0.000178073,0.000178073,0.000178073
4,187.272,1.44602,2.79633,1.18335,0.6281,0.81199,0.8017,0.51608,1.28209,1.24246,1.12858,0.00016954,0.00016954,0.00016954
5,230.454,1.39013,2.34177,1.15091,0.80071,0.86398,0.90737,0.59314,1.26628,1.03333,1.12792,0.00016072,0.00016072,0.00016072
6,277.738,1.35366,2.0542,1.13629,0.84686,0.92981,0.9495,0.62191,1.24255,0.86052,1.1206,0.0001519,0.0001519,0.0001519
7,318.605,1.33749,1.86328,1.13041,0.90209,0.92166,0.96503,0.63884,1.24142,0.83263,1.11845,0.00014308,0.00014308,0.00014308
8,356.886,1.3221,1.70068,1.12093,0.91251,0.95571,0.98107,0.65139,1.22639,0.73959,1.12476,0.00013426,0.00013426,0.00013426
9,392.773,1.30364,1.60066,1.11376,0.9114,0.96906,0.98142,0.65374,1.2121,0.72122,1.12242,0.00012544,0.00012544,0.00012544
10,427.174,1.31113,1.54195,1.12939,0.9369,0.96042,0.97754,0.65239,1.21466,0.70215,1.11069,0.00011662,0.00011662,0.00011662
11,461.834,1.20517,1.35497,1.12226,0.94479,0.95745,0.98577,0.66153,1.20149,0.68096,1.11059,0.0001078,0.0001078,0.0001078
12,498.645,1.20099,1.26304,1.11245,0.95326,0.96683,0.98837,0.67114,1.18154,0.64967,1.08977,9.898e-05,9.898e-05,9.898e-05
13,536.89,1.19253,1.18362,1.11073,0.96043,0.97174,0.98823,0.66574,1.17758,0.63413,1.0929,9.016e-05,9.016e-05,9.016e-05
14,731.63,1.17791,1.11417,1.10071,0.96025,0.9729,0.99056,0.67494,1.17452,0.61434,1.09067,8.134e-05,8.134e-05,8.134e-05
15,854.761,1.16096,1.0733,1.09481,0.97231,0.97844,0.99022,0.67776,1.15988,0.59402,1.08609,7.252e-05,7.252e-05,7.252e-05
16,901.985,1.16312,1.03707,1.09468,0.96369,0.97706,0.99201,0.68037,1.16701,0.58458,1.08338,6.37e-05,6.37e-05,6.37e-05
17,946.256,1.1524,1.00167,1.09094,0.96483,0.97482,0.99102,0.68168,1.16416,0.58253,1.08602,5.488e-05,5.488e-05,5.488e-05
18,993.044,1.14513,0.97946,1.0795,0.97388,0.97819,0.99096,0.68474,1.14754,0.56598,1.07926,4.606e-05,4.606e-05,4.606e-05
19,1038.8,1.12455,0.94242,1.06846,0.96908,0.98084,0.99115,0.68482,1.14542,0.55482,1.07642,3.724e-05,3.724e-05,3.724e-05
20,1084.83,1.11392,0.92103,1.06871,0.96978,0.98138,0.99289,0.68635,1.14405,0.54896,1.07616,2.842e-05,2.842e-05,2.842e-05
